Table Name,ID,Parent ID,Change Type,Attribute,Original Value,New Value
Audit History,165202677,N/A,INSERT,,,
Audit History,165203205,N/A,INSERT,,,
Audit History,165198205,N/A,INSERT,,,
Audit History,165198237,N/A,INSERT,,,
Pole,389833289,N/A,UPDATE,framing_type,Unknown,Horizontal Center Phase High
Primary Wire,217524387,217524383,UPDATE,insulation,Unknown,BARE
Audit History,165202478,N/A,INSERT,,,
Audit History,165200499,N/A,INSERT,,,
Audit History,165200627,N/A,INSERT,,,
Audit History,165200435,N/A,INSERT,,,
Audit History,165202928,N/A,INSERT,,,
Audit History,165202704,N/A,INSERT,,,
Audit History,165202800,N/A,INSERT,,,
Audit History,165203520,N/A,INSERT,,,
Audit History,165201641,N/A,INSERT,,,
Audit History,165202608,N/A,INSERT,,,
Audit History,165203360,N/A,INSERT,,,
Audit History,165202640,N/A,INSERT,,,
Audit History,165203296,N/A,INSERT,,,
Audit History,165202395,N/A,INSERT,,,
Audit History,165202203,N/A,INSERT,,,
Audit History,165202235,N/A,INSERT,,,
Audit History,165202267,N/A,INSERT,,,
OH Primary,217524041,N/A,UPDATE,installed_length,140,137
Audit History,165202454,N/A,INSERT,,,
Audit History,165202486,N/A,INSERT,,,
Audit History,165202518,N/A,INSERT,,,
Audit History,165202550,N/A,INSERT,,,
Audit History,165201012,N/A,INSERT,,,
Audit History,165201044,N/A,INSERT,,,
Audit History,165201108,N/A,INSERT,,,
UG Transformer,237554644,N/A,UPDATE,facility_tag_y,636,639
UG Transformer,237554644,N/A,UPDATE,xcel_energy_device_id,3 - 2127 - 620 - 174 - 636,3 - 2127 - 620 - 174 - 639
UG Transformer,237554644,N/A,UPDATE,xcel_energy_field_stencil,620 - 636,620 - 639
UG Transformer,237554644,N/A,GEOM UPDATE,secondary_connection,chain (1),chain (2) - Length Changed  < 1cm
Audit History,165202171,N/A,INSERT,,,
Audit History,165202107,N/A,INSERT,,,
Audit History,165203617,N/A,INSERT,,,
Audit History,165203681,N/A,INSERT,,,
Audit History,165202737,N/A,INSERT,,,
Audit History,165202769,N/A,INSERT,,,
OH Primary,248916348,N/A,UPDATE,installed_length,125.6,120
OH Primary,248916444,N/A,UPDATE,installed_length,137.7,132
Audit History,165202428,N/A,INSERT,,,
Audit History,165202956,N/A,INSERT,,,
Audit History,165203180,N/A,INSERT,,,
OH Primary,217517201,N/A,UPDATE,installed_length,153,160
OH Primary,217517201,N/A,UPDATE,phase_orientation,CBA,ABC
Audit History,165203207,N/A,INSERT,,,
Audit History,165203239,N/A,INSERT,,,
Audit History,165203271,N/A,INSERT,,,
Audit History,165203399,N/A,INSERT,,,
OH Primary,217524421,N/A,UPDATE,installed_length,85,93
OH Primary,217524421,N/A,UPDATE,phase_orientation,ACB,BCA
Audit History,165203522,N/A,INSERT,,,
Audit History,165203554,N/A,INSERT,,,
Audit History,165202979,N/A,INSERT,,,
Audit History,165202706,N/A,INSERT,,,
Primary Wire,217524480,217524478,UPDATE,status,Existing,Deleted
Audit History,165200826,N/A,INSERT,,,
Audit History,165200858,N/A,INSERT,,,
OH Primary,217524512,N/A,UPDATE,installed_length,45,44
Audit History,165203233,N/A,INSERT,,,
Audit History,165203265,N/A,INSERT,,,
